dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.661953,18.731613,11.764487,1.498054,-3.041700,0.284504,0.002780
0.050000,10.729283,18.731773,11.831818,1.346611,-3.028854,0.256922,0.001992
0.050000,10.789071,18.731874,11.891605,1.195743,-3.017352,0.230035,0.001390
0.050000,10.841340,18.731934,11.943874,1.045385,-3.007168,0.203676,0.000939
0.050000,10.886113,18.731969,11.988648,0.895471,-2.998283,0.177709,0.000608
0.050000,10.923410,18.731987,12.025944,0.745937,-2.990682,0.152025,0.000372
0.050000,10.953246,18.731995,12.055780,0.596719,-2.984355,0.126536,0.000209
0.050000,10.975634,18.731999,12.078168,0.447754,-2.979296,0.101178,0.000102
0.050000,10.990583,18.732000,12.093117,0.298979,-2.975501,0.075904,0.000038
0.050000,10.998099,18.732000,12.100633,0.150331,-2.972967,0.050679,0.000007
0.050000,11.000000,18.732000,12.102534,0.038016,-2.246298,14.533375,6.283185
0.050000,11.000000,18.732000,12.102534,0.000000,-0.760317,29.719625,6.283185
