0.003704, 0.148148, 50
0.013077, 0.187466, 50
0.028692, 0.312299, 50
0.050538, 0.436921, 50
0.078601, 0.561256, 50
0.112863, 0.685237, 50
0.153303, 0.808814, 50
0.199901, 0.931951, 50
0.252633, 1.054637, 50
0.311477, 1.176893, 50
0.376416, 1.298772, 50
0.447435, 1.420377, 50
0.524528, 1.541859, 50
0.607699, 1.663433, 50
0.696968, 1.785378, 50
0.792371, 1.908043, 50
0.893963, 2.031844, 50
1.001826, 2.157262, 50
1.116067, 2.284822, 50
1.236821, 2.415073, 50
1.364249, 2.548561, 50
1.498538, 2.685790, 50
1.639897, 2.827186, 50
1.788551, 2.973066, 50
1.944731, 3.123609, 50
2.108673, 3.278844, 50
2.280606, 3.438654, 50
2.457455, 3.536979, 50
2.636000, 3.570893, 50
2.816225, 3.604499, 50
2.998097, 3.637452, 50
3.181573, 3.669512, 50
3.366599, 3.700529, 50
3.553121, 3.730428, 50
3.741080, 3.759190, 50
3.930422, 3.786843, 50
4.136479, 4.121133, 50
4.359207, 4.454555, 50
4.582434, 4.464550, 50
4.806081, 4.472945, 50
5.030057, 4.479502, 50
5.254257, 4.484015, 50
5.478573, 4.486314, 50
5.702887, 4.486282, 50
5.927080, 4.483856, 50
6.151032, 4.479038, 50
6.374626, 4.471890, 50
6.597753, 4.462531, 50
6.820309, 4.451131, 50
7.042204, 4.437898, 50
7.263358, 4.423066, 50
7.483702, 4.406886, 50
7.703182, 4.389611, 50
7.921757, 4.371485, 50
8.139394, 4.352740, 50
8.356073, 4.333583, 50
8.571783, 4.314199, 50
8.786520, 4.294745, 50
9.000288, 4.275349, 50
9.213093, 4.256117, 50
9.423039, 4.198902, 50
9.626265, 4.064525, 50
9.820874, 3.892189, 50
10.006975, 3.722011, 50
10.184668, 3.553858, 50
10.354047, 3.387593, 50
10.515202, 3.223085, 50
10.668212, 3.060207, 50
10.813154, 2.898838, 50
10.950097, 2.738867, 50
11.079107, 2.580188, 50
11.200242, 2.422702, 50
11.313558, 2.266318, 50
11.419105, 2.110949, 50
11.516931, 1.956514, 50
11.607077, 1.802935, 50
11.689584, 1.650139, 50
11.764487, 1.498054, 50
11.831818, 1.346611, 50
11.891605, 1.195743, 50
11.943874, 1.045385, 50
11.988648, 0.895471, 50
12.025944, 0.745937, 50
12.055780, 0.596719, 50
12.078168, 0.447754, 50
12.093117, 0.298979, 50
12.100633, 0.150331, 50
12.102534, 0.038016, 50
12.102534, 0.000000, 50
